日付,場所,R,着順,枠番,馬番,人気順,馬名,オッズ
2015年8月1日（土）,札幌,1,1,2,2,マカーオーン,4,7.3
2015年8月1日（土）,札幌,1,2,8,10,ショウザイシンホー,5,8.2
2015年8月1日（土）,札幌,1,3,7,7,インジャスティス,3,4.5
2015年8月1日（土）,札幌,1,4,6,6,ルミナスエレメント,1,2.8
2015年8月1日（土）,札幌,1,5,8,9,ジュアンマリエ,2,3.8
2015年8月1日（土）,札幌,1,6,1,1,コスモベガス,6,14.7
2015年8月1日（土）,札幌,1,7,7,8,ネクストヒロイン,8,94.4
2015年8月1日（土）,札幌,1,8,4,4,マイネルアクティヴ,9,142.9
2015年8月1日（土）,札幌,1,9,5,5,サフランナイト,10,235.2
2015年8月1日（土）,札幌,1,10,3,3,ジュンノキボウ,7,90.1
2015年8月1日（土）,札幌,2,1,2,2,シゲルハナガサ,4,8.0
2015年8月1日（土）,札幌,2,2,6,8,カワキタキャッスル,1,2.5
2015年8月1日（土）,札幌,2,3,7,9,トリアンドルス,3,6.1
2015年8月1日（土）,札幌,2,4,5,6,ラビットボーテ,5,10.5
2015年8月1日（土）,札幌,2,5,5,5,トーセンプリズム,8,25.2
2015年8月1日（土）,札幌,2,6,6,7,エビスフラワー,10,70.2
2015年8月1日（土）,札幌,2,7,4,4,サンエバレット,11,146.5
2015年8月1日（土）,札幌,2,8,7,10,イプノーズ,9,28.4
2015年8月1日（土）,札幌,2,9,3,3,ココロナルハ,2,4.3
2015年8月1日（土）,札幌,2,10,1,1,オーヴェール,6,10.9
2015年8月1日（土）,札幌,2,11,8,11,キョウワエルフ,12,391.7
2015年8月1日（土）,札幌,2,12,8,12,マジックベル,7,16.9
2015年8月1日（土）,札幌,3,1,6,6,セイカアヴァンサ,1,1.3
2015年8月1日（土）,札幌,3,2,5,5,ジャコバイティズム,2,5.2
2015年8月1日（土）,札幌,3,3,7,7,ハッスルカフェ,3,10.6
2015年8月1日（土）,札幌,3,4,4,4,ライブリファースト,5,17.1
2015年8月1日（土）,札幌,3,5,8,9,インディケーション,6,23.6
2015年8月1日（土）,札幌,3,6,2,2,オブストラクション,8,38.4
2015年8月1日（土）,札幌,3,7,3,3,スプリングストーム,7,35.9
2015年8月1日（土）,札幌,3,8,8,8,シャトーブリアン,4,15.6
2015年8月1日（土）,札幌,3,9,1,1,ハギノカイザー,9,41.6
2015年8月1日（土）,札幌,4,1,2,2,クレオール,5,16.4
2015年8月1日（土）,札幌,4,2,7,9,デュアルフレイム,2,3.4
2015年8月1日（土）,札幌,4,3,6,6,ディーエスレイザー,4,6.6
2015年8月1日（土）,札幌,4,4,4,4,ダンスオーレ,6,23.2
2015年8月1日（土）,札幌,4,5,5,5,ヴェルデプラート,8,29.1
2015年8月1日（土）,札幌,4,6,3,3,ラヴィダフェリース,3,4.9
2015年8月1日（土）,札幌,4,7,8,10,デュラブルシャーム,9,33.7
2015年8月1日（土）,札幌,4,8,7,8,パッショナート,7,25.1
2015年8月1日（土）,札幌,4,9,1,1,サトーリアス,1,2.7
2015年8月1日（土）,札幌,4,10,6,7,ヤマニンクラケット,11,132.7
2015年8月1日（土）,札幌,4,11,8,11,メイショウクニツグ,10,39.3
2015年8月1日（土）,札幌,5,1,5,7,ジープルメリア,5,10.9
2015年8月1日（土）,札幌,5,2,8,13,キャンディバローズ,1,2.1
2015年8月1日（土）,札幌,5,3,8,12,アビス,7,29.0
2015年8月1日（土）,札幌,5,4,4,4,ティソーナ,2,4.7
2015年8月1日（土）,札幌,5,5,2,2,ミスズスター,4,8.0
2015年8月1日（土）,札幌,5,6,7,11,ペイシャマリヤ,10,68.0
2015年8月1日（土）,札幌,5,7,3,3,ペイシャフェリシタ,3,6.9
2015年8月1日（土）,札幌,5,8,6,8,ナンベーサン,9,55.4
2015年8月1日（土）,札幌,5,9,4,5,マリエラ,8,40.8
2015年8月1日（土）,札幌,5,10,5,6,エレガントビーナス,12,157.2
2015年8月1日（土）,札幌,5,11,7,10,ブラックベリー,6,19.0
2015年8月1日（土）,札幌,5,12,1,1,サンカーニー,11,121.1
2015年8月1日（土）,札幌,5,13,6,9,ヤマニンロスター,13,208.4
2015年8月1日（土）,札幌,6,1,3,5,ジュンファイトクン,1,2.3
2015年8月1日（土）,札幌,6,2,7,13,ピアノコンチェルト,7,14.3
2015年8月1日（土）,札幌,6,3,1,1,ナンヨーピューピル,13,92.5
2015年8月1日（土）,札幌,6,4,8,14,ワンディトウショウ,4,8.5
2015年8月1日（土）,札幌,6,5,5,9,リュウノースジョイ,2,6.1
2015年8月1日（土）,札幌,6,6,3,4,ハナイチゲ,5,9.6
2015年8月1日（土）,札幌,6,7,2,2,ピンクシャンパン,6,12.3
2015年8月1日（土）,札幌,6,8,2,3,エアヴーヴレ,12,65.1
2015年8月1日（土）,札幌,6,9,6,11,ステイハッピー,10,39.3
2015年8月1日（土）,札幌,6,10,5,8,クラレンスハウス,9,37.3
2015年8月1日（土）,札幌,6,11,8,15,サルガッソ,11,59.7
2015年8月1日（土）,札幌,6,12,7,12,アスターロマーネ,15,389.1
2015年8月1日（土）,札幌,6,13,4,6,クインズマルシアノ,8,15.8
2015年8月1日（土）,札幌,6,14,6,10,レッドアイヴァー,3,8.3
2015年8月1日（土）,札幌,6,15,4,7,テールドラヴェリテ,14,197.8
2015年8月1日（土）,札幌,7,1,8,11,ボーンレジェンド,1,3.4
2015年8月1日（土）,札幌,7,2,5,6,ラスパジャサーダス,6,10.0
2015年8月1日（土）,札幌,7,3,5,5,プレシャスヴィガー,9,29.1
2015年8月1日（土）,札幌,7,4,6,8,サンレイクウッド,4,6.2
2015年8月1日（土）,札幌,7,5,2,2,クリノショウスーシ,10,63.7
2015年8月1日（土）,札幌,7,6,4,4,トラストレイカ,7,18.0
2015年8月1日（土）,札幌,7,7,3,3,キースカーフ,2,4.2
2015年8月1日（土）,札幌,7,8,7,9,マチルダ,5,8.6
2015年8月1日（土）,札幌,7,9,8,12,ティーエスカクタス,3,5.5
2015年8月1日（土）,札幌,7,10,7,10,フジサンマーケット,11,74.6
2015年8月1日（土）,札幌,7,11,6,7,グランソレイユ,12,120.6
2015年8月1日（土）,札幌,7,12,1,1,サカダッシュ,8,22.8
2015年8月1日（土）,札幌,8,1,7,13,シンフォニア,5,12.9
2015年8月1日（土）,札幌,8,2,2,4,ハッシュ,2,3.9
2015年8月1日（土）,札幌,8,3,3,6,タカミツスズラン,4,8.2
2015年8月1日（土）,札幌,8,4,1,1,カレンステイシー,1,2.8
2015年8月1日（土）,札幌,8,5,6,11,ジェラテリアバール,7,21.0
2015年8月1日（土）,札幌,8,6,6,12,アースプレイ,9,35.0
2015年8月1日（土）,札幌,8,7,5,10,クリノツネチャン,16,283.9
2015年8月1日（土）,札幌,8,8,4,7,クラシックマーク,11,62.6
2015年8月1日（土）,札幌,8,9,2,3,ウィズアットレース,8,22.7
2015年8月1日（土）,札幌,8,10,7,14,ケージーサクランボ,13,120.8
2015年8月1日（土）,札幌,8,11,4,8,エイシンアリエル,10,38.0
2015年8月1日（土）,札幌,8,12,8,16,クリノハッチャン,12,110.9
2015年8月1日（土）,札幌,8,13,8,15,ダイワズットラブ,3,5.0
2015年8月1日（土）,札幌,8,14,3,5,ウォーターメアヌイ,14,194.6
2015年8月1日（土）,札幌,8,15,1,2,サクセスフィリア,6,16.3
2015年8月1日（土）,札幌,8,16,5,9,キュールエアリス,15,199.1
2015年8月1日（土）,札幌,9,1,6,7,クラシコ,1,3.4
2015年8月1日（土）,札幌,9,2,5,5,ミツバ,2,3.5
2015年8月1日（土）,札幌,9,3,6,8,スペースクルーズ,3,4.4
2015年8月1日（土）,札幌,9,4,2,2,ナスノアオバ,10,56.4
2015年8月1日（土）,札幌,9,5,7,10,オーシャンブルグ,4,6.7
2015年8月1日（土）,札幌,9,6,7,9,マハロマナ,6,15.2
2015年8月1日（土）,札幌,9,7,5,6,ヤマイチキセキ,7,16.8
2015年8月1日（土）,札幌,9,8,3,3,ベルウッドケルン,8,36.9
2015年8月1日（土）,札幌,9,9,1,1,レッドカノーヴァ,5,11.3
2015年8月1日（土）,札幌,9,10,4,4,サンディークス,9,47.1
2015年8月1日（土）,札幌,9,11,8,11,マコトカンパネッロ,12,124.0
2015年8月1日（土）,札幌,9,12,8,12,ムテキザセカンド,11,91.5
2015年8月1日（土）,札幌,10,1,6,10,ウインフェニックス,1,2.4
2015年8月1日（土）,札幌,10,2,7,11,アルテ,6,10.3
2015年8月1日（土）,札幌,10,3,7,12,ボールドジャパン,12,71.0
2015年8月1日（土）,札幌,10,4,5,7,ビーウィッチド,4,7.6
2015年8月1日（土）,札幌,10,5,4,6,ウォーターラボ,3,6.7
2015年8月1日（土）,札幌,10,6,4,5,アドマイヤゴッド,5,10.3
2015年8月1日（土）,札幌,10,7,1,1,ダイワプロパー,2,5.0
2015年8月1日（土）,札幌,10,8,8,13,ブライトボイス,7,24.1
2015年8月1日（土）,札幌,10,9,6,9,キャンディーハウス,13,121.5
2015年8月1日（土）,札幌,10,10,2,2,マイネルグルマン,8,28.2
2015年8月1日（土）,札幌,10,11,8,14,ビリーヴザワン,9,35.3
